,id,question,answer_A,answer_B,answer_C,answer_D,answer_E
81,81,What are the possible therapeutic strategies in asthma and chronic obstructive pulmonary disease (COPD)? (one or more correct answers),Long-term inhaled corticosteroid therapy as monotherapy in COPD,Continuous inhaled corticosteroid therapy as monotherapy in asthma,Long-acting beta-2 agonist as monotherapy in asthma,Combination of inhaled corticosteroid and inhaled long-acting beta-2 agonist as background treatment in asthma,Long-acting beta-2 agonist as monotherapy in COPD
82,82,Name the potential consequence(s) of a drug combination with a cytochrome p450 3a4 inducing drug.,Graft rejection under cyclosporin,Pregnancy on estrogen-progestins,Ergotism in the presence of ergotamine,Rhabdomyolysis in the presence of certain statins,Antiretroviral treatment failure
83,83,You receive the result of a blood ionogram showing a serum potassium level of 6 mmol/l. what iatrogenic cause(s) can you mention?,Long-term oral corticosteroid therapy,Antagonist of angiotensin ii,Mineralocorticoid receptor inhibitor,ACE inhibitor,Loop diuretic
84,84,About drug antidotes:,Protamine sulfate neutralizes the anticoagulant activity of heparin,Naloxone is a specific antagonist of morphinomimetics,Prothrombin factors are the antidote for clopidogrel,N-acetyl-cysteine ​​is the antidote to acetylsalicylic acid,Flumazenil is an antagonist of benzodiazepines and related molecules
85,85,"A 23-year-old young woman is hospitalized in a psychiatric ward for a state of psychomotor excitement that has been developing for a week, with disinhibition leading to reckless spending and risky sexual behavior. she has not slept for 72 hours but shows no fatigue and begins to introduce herself to each of the patients in the department. If you had to opt for monotherapy, which of these options would seem appropriate to you?",Lithium,Valproic acid,Risperidone,Carbamazepine,Quetiapine
86,86,About the decision to medically terminate a pregnancy (img) (one or more correct answers):,Any request for img must be the subject of an opinion from the multidisciplinary center for pre-natal diagnosis (cpdpn),There is a list of pathologies for which there is a medical indication for img,The admissibility of the request is based on the demonstration of a “high probability of a particularly serious and incurable condition at the time of diagnosis”,A period of reflection must be offered to the pregnant woman between the diagnosis of the condition and the possible carrying out of the img,An img can be carried out after advice from the cpdpn until the end
87,87,"A 31-year-old young woman describes the sudden onset, a month ago, of intense fatigue accompanied by deep sadness. she blames herself a lot, in particular for not being able to take care of her 2-month-old daughter, is very slow and often wakes up in the middle of the night. he then sometimes has suicidal thoughts. Which of the following characteristics may indicate bipolar mood disorder?",The female gender,Postpartum context,Sudden start,Melancholic characteristics,Suicidal thoughts
88,88,"Among the following signs and symptoms, which one(s) is(are) more common in the event of a depressive episode in elderly people compared to young adults?",Somatic complaints,Feeling of guilt,Self-depreciation,Suicidal thoughts,Sexual disorders
89,89,Which of the following signs could be a symptom(s) of opiate withdrawal?,Constipation,Bilateral mydriasis,Hallucinations,Vomiting,High blood pressure
90,90,"Faced with a patient presenting a disorder linked to alcohol use and opposed to the idea of ​​addiction treatment, what attitude(s) characterize(s) the motivational interview?",Give the patient arguments in favor of change,Let the patient explain what alcohol does for him,Expose the patient to situations at risk of excessive consumption,Identify the patient's personal reasons for change,Emphasize to the patient the risks associated with alcohol consumption
91,91,A 69-year-old patient presents for an annual visit to his new general practitioner. clinical examination reveals a pulse at 45 beats per minute. Name the medication(s) likely to be involved:,Selective beta blocker,Class III antiarrhythmic,Calcium channel blocker of the dihydropyridine group,Anticholinesterase,"Fast-acting, short-acting inhaled beta-2 mimetic bronchodilator"
92,92,About Down syndrome (one or more correct answers):,It most often results from a maternal meiotic accident,"When it is associated with a chromosomal formula 46,xx,der(14;21),+21, it does not require a family investigation",Its postnatal diagnosis can be confirmed quickly by molecular biology,Its risk of recurrence is close to 1/100 to 1/200 for a couple who have had a first affected child.,Its risk is reduced by advanced maternal age at the time of conception
93,93,Regarding the histological lesions of glomerulopathies (one or more correct answers):,Diagnosis of minimal glomerular lesions requires electron microscopy examination.,Segmental and focal hyalinosis can be primary in adults,Membranoproliferative glomerulopathy is characterized by double contours of the glomerular basement membrane,Humps-like deposits are present in acute post-infectious glomerulonephritis,Diabetes can cause glomerulopathy
94,94,Histological diagnosis of prostate adenocarcinoma on biopsy mapping (one or more correct answers):,Typically requires six biopsy samples,May indicate extra-prostatic involvement,Requires a biopsy of the seminal vesicles,Is specified in its prognosis by the architectural score of gleason,Is specified in its prognosis by the proliferation index
95,95,"During a surgical procedure, an extemporaneous examination of a tissue sample is requested. the sample must be sent to the anatomical pathology laboratory (one or more correct answers):",At + 4°c,At -20°c,Immersed in formalin,Without fixing liquid,Accompanied by a consent sheet
96,96,"On a liver biopsy, we consider in favor of the diagnosis of acute alcoholic hepatitis (one or more correct answers):",Neutrophilic inflammation,Ballooned hepatocytes,Councilman bodies,Cirrhosis,Cholestasis
97,97,Molecular biology analyzes as part of the pathological diagnosis of a tumor (one or more correct answers):,Can be done on fixed and paraffin-embedded tissue samples,Can be done on unfixed tissue samples frozen at -80°C,Can be done on cell smears in liquid medium,Require morphological control of the tissue sample,Requires signed authorization from the patient
98,98,"Regarding Alzheimer's disease, which statement(s) is(are) correct?",Diagnosis often remains late,This is secondary dementia,Behavioral disorders often appear at the start of the illness,The Dubois 5-word test makes it possible to make the diagnosis,It evolves in spurts leading to iterative hospitalizations
99,99,"Concerning the aging of the organs, what is(are) the correct proposition(s):",It is marked by a reduction in maximum capacities,It is mainly due to oxidative stress,This is a concept without scientific proof,It is characterized by a reduction in functional reserve capacities,It allows us to judge the autonomy of the individual
100,100,"Concerning fragility syndrome, which proposition(s) is(are) correct?",It is a concept without a precise definition.,It makes it possible to evaluate the functional reserves of the organs,It is associated with a risk of dependence,It is associated with the risk of pressure ulcers during hospitalization,It is associated with an increased risk of myocardial infarction
101,101,"You are treating an 85-year-old female patient in the emergency room for head trauma on an antivitamin K (AVK) prescribed for atrial fibrillation. the inr is 2.9. there is a petechia on the brain scan. Among the following suggestions, which one(s) do you choose for your therapeutic care?",Immediate administration of prothrombin complex concentrate,Administration of vitamin k in 4 hours,Systematic control brain scan in 6 hours,Stopping the antivitamin K with a change to heparin at a curative dose,Stopping the vitamin K antagonist
102,102,Which criterion(s) among the following demonstrate(s) severe malnutrition in the elderly?,Weight loss ≥ 10% in 1 month,Body mass index <18 kg/m2,Weight loss ≥ 15 kg in 6 months,Score mini nutritional assessment <17,Plasma albumin level <35 g/l
