question,answer_A,answer_B,answer_C,answer_D,answer_E,correct_answers,subject_name
"Parmi les propositions suivantes concernant Streptococcus pneumoniae, laquelle (lesquelles) est (sont) exacte(s)?",C'est un coccus à Gram positif,Il peut être capsulé,Il cultive facilement sur les milieux ordinaires,Il peut être l'agent d'une méningite primitive,Il est l'agent d'infections urinaires,"A, B, D",pharmacie
L'oeuf d'Enterobius vermicularis:,Est incolore,Est asymétrique,Possède une coque double,Possède une coque lisse,Peut être à l'origine d'une auto-infestation,"A, B, D, E",pharmacie
"Parmi les actes médico-chirurgicaux suivants, lequel (lesquels) peut (peuvent) être à l'origine d'une infection nosocomiale à l'hôpital?",Trachéotomie,Pose d'un cathéter par voie intraveineuse,Sondage urinaire à demeure pour incontinence,Intradermoréaction à la tuberculine,Intervention neuro-chirurgicale pour dérivation d'une hydrocéphalie,"A, B, C, E",pharmacie
"D'après les articles législatifs du code de la santé publique, l'information relative à l'état de santé du patient :",Ne doit être délivrée qu'à la demande expresse du patient,Doit être délivrée premièrement et principalement par écrit,Doit être délivrée dans toutes les situations au patient sans exception,Doit être transmise par le professionnel de santé qui doit s'assurer de la compréhension des informations et explications données,"Doit être donnée par le médecin traitant qui reste, sauf cas de force majeure, le principal interlocuteur du patient",D,pharmacie
"Parmi les propositions suivantes concernant le méningocoque, quelle(s) est (sont) celle(s) qui est (sont) exacte(s) ?",C'est un diplocoque à Gram négatif,Il peut être présent dans la flore rhinopharyngée du sujet normal,La différenciation des sérogroupes se fait grâce aux antigènes protéiques pariétaux,C'est un agent de maladie sexuellement transmissible,Il existe un vaccin contre le sérogroupe A,"A, B, E",pharmacie
"Parmi les pathologies suivantes, quelles sont celles que l'on peut attribuer généralement à Neisseria gonorrhoeae ?",Méningite,Pneumonie atypique aiguë,Urétrite aiguë,Arthrite,Conjonctivite néonatale,"C, D, E",pharmacie
"Parmi les propositions suivantes concernant les récipients pour préparations injectables, laquelle (lesquelles) est (sont) exacte(s)?",Les flacons de verre ont une résistance hydrolytique élevée en surface,Les solutions injectables sont conditionnées en ampoule de verre type III,Les poches pour préparations injectables sont généralement en PVC,Les poches pour mélange ternaire pour alimentation parentérale totale sont en polymère plastique coloré dans la masse pour protéger de la lumière,"Les cartouches sont des petits flacons de verre sans fond, fermés aux deux extrêmités par un bouchon de caoutchouc","A, C, E",pharmacie
"Parmi les clairances suivantes, laquelle (ou lesquelles) mesure(nt) la filtration glomérulaire?",Clairance du phosphore,Clairance de l'urée,Clairance de l'inuline,Clairance de l'acide para-amino-hippurique,Clairance de la créatinine,"C, E",pharmacie
"Parmi les propositions suivantes, indiquer la (les) proposition(s) exacte(s)? L'HCG est une hormone:",Sécrétée par le placenta,Sécrétée par l'ovaire,Sécrétée par l'ante-hypophyse,Sécrété par l'hypothalamus,Qui permet le diagnostic précoce de grossesse,"A, E",pharmacie
"Pour mettre en oeuvre une réaction de précipitation, quel(s) type(s) d'antigène(s) peut-on utiliser?",Un antigène particulaire,Une solution de protéines,Un sérum humain,Des particules de latex sensibilisées,Une suspension de salmonelles traitées par le formol,"B, C",pharmacie
Les effets du cortisol sur le métabolisme se traduisent par:,Un hypercatabolisme protidique,Une hyperglycémie,Une hypocholestérolémie,Une diminution de la néoglucogénèse,Une élévation de la concentration des protéines plasmatiques,"A, B",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s)? L'activation des récepteurs bêta-adrénergiques par le salbutamol provoque:",Une bronchoconstriction,Un myosis,Une vasodilatation,Une relaxation utérine,Une stimulation de la sécrétion d'insuline,"C, D, E",pharmacie
"Parmi les rayonnements ci-dessous, quel(s) est (sont) celui (ceux) qui n'est (ne sont) pas ionisant(s)?",Rayons X,Rayonnement infrarouge,Rayonnement ultraviolet,Rayonnement alpha,Rayonnement bêta,"B, C",pharmacie
Les chaînes légères des immunoglobulines:,Sont de deux types différents,Dans une même molécule sont identiques,Expriment toutes des spécificités allotypiques,Comportent 2 domaines constants,Comportent un domaine variable,"A, E",pharmacie
Quelle(s) est (sont) la (les) proposition(s) exacte(s) concernant les préparations pour nutrition parentérale?,Elles servent uniquement à assurer l'apport calorique nécessaire au malade,Les émulsions lipidiques renferment de l'huile de soja,Les préparations lipidiques contiennent des lécithines pour apporter des acides gras insaturés essentiels,"Dans les solutions d'acides aminés, la proportion d'acides aminés essentiels doit être la plus élevée possible",Un litre d'Intralipide à 20% apporte plus de calories qu'un litre de solution de glucose à 30%,"B, E",pharmacie
"Quelle est (sont) la (les) proposition(s) exactes? Pour avoir la meilleure biodisponibilité d'un principe très lipophile (à coefficient de partage élevé), il est conseillé:",De faire avaler sans eau,De le présenter sous forme micronisée,De le présenter en comprimé gastro-résistant,De le faire avaler au cours d'un repas riche en lipides,De le faire avaler le soir au coucher,"B, D",pharmacie
"Parmi les diurétiques suivants, indiquez celui (ceux) qui est (sont) diurétique(s) de l'anse de Henlé",Amiloride,Furosémide,Spironolactone,Mannitol,Bumétanide,"B, E",pharmacie
Parmi laquelle (lesquelles) des situations infectieuses suivantes observe-t-on une hyper éosinophilie sanguine,Aspergillose,Amibiase hépatique,Candidose profonde,Bilharziose urinaire,Anguillulose,"D, E",pharmacie
Les phénols peuvent classiquement être dosés par:,Protométrie en solvant acide,Protométrie en solvant basique,Spectrophotométrie dans l'U.V.,Photomètrie après copulation avec un sel de diazonium,Photomètrie après transformation en indophénol,"B, C, D, E",pharmacie
"Parmi les parasitoses suivantes, laquelle (lesquelles) est (sont) susceptible(s) d'être observée(s) chez un guadeloupéen venu en métropole et n'ayant effectué aucun autre voyage?",Paludisme à Plasmodium ovale,Bilharziose urogénitale à Schistosoma haematobium,Ankylostomiase,Strongyloïdose,Bilharziose intestinale à Schistosoma mansoni,"C, D, E",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s)? Les inhibiteurs calciques peuvent exercer leur activité antiangineuse par :",Un effet inotrope négatif direct,Un effet chronotrope positif,Une vasodilatation coronaire,Un effet analgésique,Une vasodilatation veineuse,"A, C",pharmacie
"Dans le système ABO, les antigènes:",Sont présents dès le stade érythroblaste,Ont une partie terminale lipidique,Peuvent se retrouver dans la salive,Permettent d'effectuer le groupage,Peuvent être modifiés dans certaines hémopathies,"A, C, D, E",pharmacie
Une insuffisance rénale peut être causée par le :,Le Méthanol,Le trichloréthylène,L'éthylène glycol,L'éthanol,Le chloroforme,C,pharmacie
Indiquez la ou les réponses exactes: Les lymphocytes B:,Représentent plus de 50% des lymphocytes circulants,Possèdent des récepteurs pour l'antigène constitués de : 2 chaînes alpha et de 2 chaînes bêta,Sont mis en évidence par le test des rosettes E (mouton),Possèdent un récepteur pour le virus Epstein-Barr,Donnent naissance aux mastocytes qui secrètent des anticorps,D,pharmacie
Cochez la ou les réponses exactes: L'hémoglobine A:,Comporte deux atomes de fer ferrique par molécule,Est une protéine allostérique,Présente une fonction de saturation à l'oxygène identique à celle de la myoglobine,Est catabolisée en partie en bilirubine,Voit son affinité pour l'oxygène diminuer si le pH diminue,"B, D, E",pharmacie
"La présentation d'un antigène au lymphocyte T CD4 sous une forme immunogène, met en jeu :",Une internalisation et une dégradation de cet antigène,Une synthèse d'IgM,Une production de radicaux libres oxygénés,L'intervention de molécules du CMH de classe II,L'implication d'un récepteur de la famille du TNF récepteur,"A, D",pharmacie
"Les 3 nucléides de l'hydrogène, H(A=1,Z=1), H(A=2,Z=1) et H(A=3,Z=1) sont:",Des isotones,Des isomères,Des isobares,Des isotopes,Des isothermes,D,pharmacie
"Quelle est la protéine dont la concentration plasmatique, chez un sujet normal, est la plus élevée ?",Préalbumine,Albumine,CRP,IgG,Fibrinogène,B,pharmacie
"Parmi ces effets des glucocorticoïdes utilisés au long cours, lequel est faux ?",Atrophie corticosurrénalienne,Hypercorticisme,Immunostimulation,Rétention sodée,Fuite de potassium,C,pharmacie
"Parmi les propositions suivantes concernant la filtration stérilisante, une seule est inexacte, laquelle ?","Elle est réalisée sur des filtres de porosité de 0,22 micromètre",Elle permet d'obtenir des gaz ou des solutions stériles,Elle s'opère le plus généralement sur des membranes d'esters de cellulose,Elle permet d'obtenir la stérilité des suspensions injectables de principes actifs thermosensibles,Elle ne permet pas de retenir les endotoxines bactériennes,D,pharmacie
Quelle est la base qui n'existe pas dans une molécule d'ADN ?,Adénine,Cytosine,Uracile,Thymine,Guanine,C,pharmacie
"parmi les préparations d'insuline, laquelle ou lesquelles nécessite(nt) deux injections par jour?",Suspension d'Insuline Protamine Zinc,Suspension d'Insuline lente monocomposée,Suspension d'insuline Zinc cristallisée,Suspension d'Insuline Zinc Semi-Tardum,Suspension d'Insuline Zinc amorphe,"D, E",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s)? La biodisponibilité des médicaments:",Renseigne sur la résorption du médicament,Dépend de la liaison du médicament aux protéines plasmatiques,Dépend de l'effet du premier passage hépatique,Dépend des propriétés physico-chimiques du médicament,Dépend de la clairance totale du médicament,"A, C, D",pharmacie
"Parmi les enzymes suivantes, quelle(s) est (sont) celle(s) qui est (sont) impliquée(s) dans la dégradation du glucose dans le muscle:",Pyruvate kinase,Pyruvate carboxylase,Lactate deshydrogénase,Hexokinase,Glucokinase,"A, C",pharmacie
"Parmi les affirmations suivantes, laquelle (lesquelles) est (sont) exacte(s)?","La streptomycine (STREPTOMYCINE) est un antituberculeux de ""première intention""",La kanamycine (KAMYCINE) est un antituberculeux néphrotoxique,Le traitement d'attaque utilisant 4 antituberculeux (rifampicine + isoniazide + éthambutol + pyrazinamid) raccourcit à 6 mois la durée du traitement,Le pyrazinamide (PIRILENE) entraîne une toxicité oculaire,L'éthambutol (DEXAMBUTOL) est un antituberculeux ototoxique,"B, C",pharmacie
"Parmi les caractères suivants, lequel (lesquels) concerne(nt) le KETOCONAZOLE?",Non hydrosoluble,Inhibe la synthèse de l'ergostérol,Est un dérivé pyrimidique,Agit uniquement sur les levures,Possède une toxicité hépatique,"A, B, E",pharmacie
Quel(s) est (sont) le(s) champignon(s) exclusivement anthropophile(s),Trichophyton rubrum,Cryptococcus neoformans,Epidermophyton floccosum,Trichophyton mentagrophytes,Aspergillus fumigatus,"A, C",pharmacie
"Parmi les propositions suivantes concernant le trichloréthylène, indiquer celle(s) qui est ou sont exacte(s)?",Le trichloréthylène est un hydrocarbure halogéné aromatique,Le trichloréthylène peut entraîner des toxicomanies,Les troubles cardiaques qu'il entraîne sont responsables de la gravité de l'intoxication,Le trichloréthylène présente une faible affinité pour le tissu adipeux,Le trichloréthylène dans l'organisme subit un métabolisme oxydatif,"B, C, E",pharmacie
Une hyponatriurie s'observe généralement au cours:,Du syndrome néphrotique primitif,De la cirrhose avec ascite,De l'hypoaldostéronisme,De l'insuffisance rénale fonctionnelle,Des régimes désodés,"A, B, D, E",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s)? La transformation de la méthémoglobine en hémoglobine utilise:",La méthionine,Le glutathion réduit,La cystéine,La cytochrome b réductase,La vitamine C,"B, E",pharmacie
Un ictère à bilirubine exclusivement non conjuguée (indirecte) est observée dans :,La cirrhose hépatique,L'hépatite virale,Les anémies hémolytiques,Les cholestases,Les déficits complets en glucuronyl tranférase hépatique,"C, E",pharmacie
Une seule (plusieurs) proposition(s) constitue(nt) la (les) réponse(s) attendue(s): L'oxycarbonisme chronique survient:,Chez les grands fumeurs,Après exposition aux solvants aromatiques,Après exposition au tétrachlorure de carbone,Après exposition au chloroforme,Après exposition au dichlorométhane,"A, E",pharmacie
Le vaccin antigrippal:,Est un vaccin à virus inactivé,Est modifié en fonction des données épidémiologiques,Est administré en général au printemps,Est obligatoire dès l'âge de 1 an,N'est pas contre-indiqué chez la femme enceinte,"A, B, E",pharmacie
Le diagnostic d'infection urinaire à E. coli repose sur les éléments suivants. Cochez le(s) élément(s) qui contribue(nt) au diagnostic:,Leucocytes > 100.000 /ml,100.000 E.coli/ml,Nombreux cocci Gram(+) à l'examen direct,Bacilles acido-alcoolo-résistants à l'examen direct,Glycosurie (+),"A, B",pharmacie
"Parmi les propositions suivantes, indiquez la ou les espèces microbiennes responsables de syndromes dysentériques:",Candida albicans,Giardia intestinalis,Taenia saginata,Shigella sonnei,Poliovirus,"B, D",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s)? Le coefficient d'extinction molaire d'une substance absorbante peut:",Varier avec la température,Varier avec la longueur d'onde,Etre modifié par la nature du solvant,Varier avec la longueur du trajet optique,Etre identique à 2 longueur d'ondes différentes,"A, B, C, E",pharmacie
"Parmi les propositions suivantes concernant la spectrophotométrie UV-visible, laquelle (lesquelles) est (sont) exacte(s)?",Les carbures saturés n'absorbent pas dans l'ultra-violet proche,Une substance incolore absorbe dans la zone de longueur d'onde comprise entre 400 à 700 nm,La conjugaison des liaisons multiples déplace le maximum d'absorption de la molécule vers les grandes longueurs d'onde,Le solvant n'influence pas l'absorption des substances dissoutes,Les groupements fonctionnels porteurs d'hétéroatomes sont auxochromes,"A, C, E",pharmacie
"Parmi les questions suivantes concernant la prévention, une seule est fausse. Laquelle ?",Le dépistage est une mesure de prévention primaire,La prévention secondaire a pour objectif de diminuer la prévalence d'une maladie,La prévention tertiaire a pour objectif de diminuer la prévalence des complications d'une maladie,L'hygiène corporelle est une mesure de prévention primaire,La vitaminothérapie est une mesure de prévention tertiaire de la maladie alcoolique,A,pharmacie
Que se passe-t-il à la fin de la diastole générale? Cochez la (les) réponse(s) exacte(s),Les oreillettes et les ventricules sont relâchés,Les valvules auriculo-ventriculaires sont ouvertes,La valvule pulmonaire est ouverte,La valvule aortique est ouverte,Les ventricules reçoivent le sang provenant des oreillettes,"A, B, E",pharmacie
"Parmi les anomalies biologiques suivantes, quelle(s) est (sont) celle(s) qui permet(tent) de penser qu'un syndrome néphrotique primitif ""est impur""?",Baisse du taux de l'albumine sérique,Protéinurie sélective,Hématurie,Augmentation des alpha 2 globulines sériques,Augmentation de la créatininémie,"C, E",pharmacie
La cuisson suffisante de la viande est une des meilleures préventions vis à vis des parasitoses suivantes:,La fasciolose,La toxoplasmose,Le taeniasis a Taenia saginata,La cryptococcose,L'oxyurose,"B, C",pharmacie
La loi de Beer-Lambert,S'applique aux dosages polarométriques,S'applique aux dosages spectrophotométriques,Est valable quelle que soit la concentration de la solution,Est une loi additive,Peut-être appiquée en lumière polychromatique,"B, D",pharmacie
Le rendement de l'extraction par un solvant organique d'un composé acide en solution dans l'eau augmente lorsque:,Le volume de la phase aqueuse à extraire augmente,Le coefficient de partage conditionnel du composé augmente,Le nombre d'extractions réalisées augmente,Le volume du solvant organique augmente,Le pH de la phase aqueuse augmente,"B, C, D",pharmacie
"Parmi les propositions suivantes concernant les comprimés, laquelle (lesquelles) est (sont) exacte(s) ?",La polyvinylpyrrolidone est utilisée comme liant à sec,Le mélange bicarbonate de sodium/acide citrique est utilisé comme agent de désagrégation,La granulation facilite l'écoulement du mélange pour compression,La carboxyméthylcellulose est utilisée comme diluant dans la granulation humide,La silice colloïdale est un diluant pour compression directe,"A, B, C",pharmacie
"Parmi les propositions suivantes, quelles sont celles qui s'appliquent à l'IL2 :",Induit la différenciation des lymphocytes T cytotoxiques,Est produite par les macrophages activés,Est produite par les lymphocytes Th1,Agit selon un mode autocrine,Est utilisable en thérapeutique,"A, C, D, E",pharmacie
Un patient de 20 ans est traité par héparine de bas poids moléculaire pour une thrombose iliaque. Il présente un syndrome hémorragique majeur. Parmi les résultats suivants le(s)quel(s) permet(tent) d'affirmer la présence d'un surdosage?,Taux de complexe prothrombinique 35 %,INR = 4,Temps de céphaline activé à 45 s (pour un témoin à 30 s),"Activité anti Xa = 2,00 UI/mL",Un temps de saignement IVY incision à 12 minutes,D,pharmacie
"Parmi les propositions suivantes concernant l'allopurinol (ZYLORIC®), quelle(s) est(sont) la(les) proposition(s) exacte(s) ?",C'est un dérivé nucléosidique,C'est un inhibiteur de la xanthine-oxydase,Il augmente significativement l'uraturie,Il est utilisé dans le traitement de la crise de goutte en monothérapie,Il peut entrainer des réactions allergiques graves,"B, E",pharmacie
Parmi les propositions suivantes quelle(s) est (sont) celle(s) caractérisant Pseudomonas aeruginosa ?,Parasite strict de l'homme,Très souvent impliqué dans des infections nosocomiales,Bacille Gram négatif,Aérobie strict,Est toujours sensible aux céphalosporines de troisième génération,"B, C, D",pharmacie
"Parmi les propositions suivantes, cocher la (les) réponse(s) exacte(s). La parathormone:",Augmente la réabsorption rénale du calcium,A le même effet que la calcitonine sur l'élimination urinaire des phosphates,Augmente la mobilisation du calcium osseux,Inhibe l'absorption intestinale du calcium,"Inhibe la formation de la 1,25 dihydroxy vitamine D3","A, B, C",pharmacie
Un tableau typique de Coagulation Intra-Vasculaire Disséminée comporte en général:,Une thrombopénie,Une concentration élevée de produits de dégradation de la fibrine (D-dimères),Une augmentation de la concentration de fibrinogène,Une diminution de la concentration des facteurs de la coagulation,La présence de complexes solubles,"A, B, D, E",pharmacie
"Dans le LCR provenant d'un malade atteint de méningite bactérienne, on note, le plus souvent, une augmentation de certain(s) paramètre(s). Lequel ou lesquels ?",Protéines,Glucose,Chlorures,Polynucléaires neutrophiles,Plaquettes,"A, D",pharmacie
Parmi les propositions suivantes concernant Aspergillus fumigatus lesquelles sont exactes :,Est un champignon filamenteux,Est contracté par inhalation de spores,Est identifié par la présence de macroconidies,Peut être traité par fluconazole,Est un opportuniste,"A, B, E",pharmacie
L'absorption intestinale du glucose:,Est réalisée contre un gradient de concentration,Est freinée par le galactose,Utilise un mode de transport très voisin de celui fonctionnant dans le tubule rénal,Est bloquée par une augmentation de la glycémie,Est réalisée par le même mode de transport que le fructose,"A, B, C",pharmacie
"En cas de pertes sanguines massives, l'érythropoïèse compensatrice accélérée a généralement pour conséquences :",L'élévation du nombre de réticulocytes circulants,Une polychromatophilie,L'apparition dans le sang d'ombres de Gumprecht,Le passage dans le sang d'un faible nombre d'érythroblastes acidophiles,Une monocytose,"A, B, D",pharmacie
La vaccination contre l'hépatite B:,Est contre-indiquée chez les femmes enceintes,Est obligatoire pour tout le personnel de santé,Est recommandée pour tous les sujets à risque de contamination,Est obligatoire chez les voyageurs internationaux,Est indiquée chez les hémodialysés seulement s'ils doivent subir une transplantation rénale,"B, C",pharmacie
L'intensité de fluorescence d'une molécule donnée :,Est inversement proportionnelle à la concentration,Est dépendante de l'intensité du rayon lumineux du rayon lumineux excitateur,Peut-être utilisée pour identifier une molécule,Est indépendante du milieu solvateur,Est dépendante de la température,"B, C, E",pharmacie
Deux noyaux atomiques sont dits isotopes lorsqu'ils ont:,Même nombre de masse (A),Même nombre de neutrons,Même numéro atomique (Z),Même nombre de neutrons et de protons,Même nombre d'électrons,"C, E",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) juste(s)? Dans l'alcoolisme chronique:",Il existe une dépendance physique,On observe une diminution du volume globulaire moyen,Il y a accoutumance à l'éthanol,Il existe une insuffisance rénale chronique,Une altération des fonctions hépatiques se développe,"A, C, E",pharmacie
"Parmi les propositions suivantes, quelles sont celles qui s'appliquent aux lipoprotéines plasmatiques de très basse densité (VLDL)?",Elles contiennent de l'apo B,Elles sont sécrétées essentiellement par l'intestin,Elles sont riches en triglycérides,Elles contiennent des apo C et E,Elles sont de taille inférieure aux LDL (lipoprotéines de basse densité),"A, C, D",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s)? Les chlorures peuvent être dosés par :",Absorption atomique directe,Potentiométrie avec électrode de platine,Complexométrie,Photométrie de flamme,Chromatographie ionique avec détecteur conductimétrique,"C, E",pharmacie
"Parmi les affirmations suivantes, laquelle (lesquelles) est (sont) exacte(s)?",L'acide vanillique est le catabolite de la dopamine,L'adrénaline est synthétisée dans les neurones adrénergiques du système sympathique,La mono-amine oxydase est une enzyme de dégradation des catécholamines,L'AMP cyclique est le second messager des récepteurs bêta des catécholamines,La dopamine est une hormone hypertensive,"A, C, D",pharmacie
"Dans la leucémie lymphoïde chronique, il existe fréquemment",Une lymphocytose supérieure à 4 G/L,Une augmentation des polynucléaires basophiles,Une hyperplaquettose,Des douleurs osseuses,Des adénopathies,"A, E",pharmacie
"Parmi les propositions suivantes, quel est l'antibiotique de choix pour traiter une infection à Listeria monocytogenes ?",Ciprofloxacine,Amoxicilline,Ceftriaxone,Erythromycine,Isoniazide,B,pharmacie
"Parmi les médicaments suivants, lequel est contre-indiqué avec les sulfamides hypoglycémiants ?",Tramadol (CONTRAMAL®),Piroxicam (FELDENE®),Metformine (GLUCOPHAGE®),Miconazole (DAKTARIN®),Propranolol (AVLOCARDYL®),D,pharmacie
"Parmi les propositions suivantes, laquelle est exacte ? Le mésusage est défini comme :","Tout usage excessif intentionnel, persistant ou sporadique, de médicaments, accompagné de réactions physiques ou psychologiques nocives",Une utilisation de médicament dont il résulte un effet indésirable inattendu,Une utilisation de médicament dont il résulte un effet indésirable grave,Une utilisation de médicament dont il résulte un effet indésirable évitable,Une utilisation de médicament non conforme aux recommandations du résumé des caractéristiques du produit,E,pharmacie
"Parmi les propositions suivantes, quelle est celle qui est fausse ?",La réaction d'un antigène sur un anticorps est une réaction d'équilibre,Un dosage immunologique en phase hétérogène fait appel à une étape de séparation des formes libres et liées,La chimiluminescence est un phénomène radiatif consécutif à une réaction chimique,La méthode immunométrique dite sandwich fait appel à un seul anticorps,Il est possible de doser la digoxine dans le plasma par immunofluorescence,D,pharmacie
"Parmi les propositions suivantes, quelle est celle qui est exacte ? La certification des établissements de santé",Ne concerne que les établissements de santé publics,Ne concerne que certains établissements de santé privés,Ne concerne que les établissements participant au service public hospitalier,Concerne tous les établissements de santé,Est facultative,D,pharmacie
La biodisponibilité absolue d'un médicament est obtenue en prenant comme référence:,La concentration maximale après administration parentérale,L'aire sous la courbe après administration intramusculaire,L'aire sous la courbe après administration intraveineuse,La concentration maximale après administration orale,L'aire sous la courbe après administration orale,C,pharmacie
Indiquez la ou les réponses exacte(s)? Dans une molécule d'immunoglobuline:,Les deux chaînes légères sont toujours identiques,Les chaînes légères peuvent être de type kappa,Les chaînes lourdes portent la spécificité isotypique,La chaîne mu comporte quatre domaines,Les deux chaînes lourdes sont toujours identiques,"A, B, C, E",pharmacie
La formation de complexes peut être utilisé pour le dosage:,Des chlorures,Des acides,Du calcium,Des barbituriques,Des alcaloïdes,"A, C",pharmacie
Un dosage radioimmunologique (RIA) :,Doit utiliser un antigène marqué,Doit utiliser un système permettant de séparer l'antigène libre du complexe antigène-anticorps,Doit utiliser un antigène et un anticorps marqués,Se traduit par une réponse linéaire en fonction de la concentration de l'antigène,Est caractérisé par une spécificité indépendante de la nature de l'anticorps,"A, B",pharmacie
"Parmi les antibiotiques suivants, lequel (lesquels) est (sont) un (des) aminoside(s)?",Pénicilline G,Amoxicilline,Streptomycine,Gentamicine,Erythromycine,"C, D",pharmacie
"Au cours d'une insuffisance hépatocellulaire grave, on observe généralement dans le sang:",Une augmentation de l'ammonium,Une diminution du cholestérol,Une augmentation de l'urée,Une diminution de l'albumine,Une augmentation de la transferrine,"A, B, D",pharmacie
"En électrophorèse capillaire haute performance, le sens de migration de l'analyse dépend :",De la nature de la charge de l'analyte,De l'intensité du courant électrique,Du flux d'électroendosmose,De la longueur du tube capillaire,De la vitesse électrophorétique de l'analyte chargé,"A, C, E",pharmacie
Indiquez la ou les réponses exacte(s): Le diagnostic sérologique d'une infection virale repose sur la mise en évidence chez le patient:,D'un titre élevé du complément,D'une séroconversion,D'une ascension significative du titre des anticorps spécifiques,D'IgM spécifiques,D'IgG spécifiques,"B, C, D",pharmacie
"Parmi les infections opportunistes suivantes, laquelle(lesquelles) est(sont) caractéristique(s) du SIDA ?",Pneumocystose,Méningite à Pseudomonas aeruginosa,Toxoplasmose cérébrale,Cryptococcose,Infections à mycobactéries atypiques,"A, C, D, E",pharmacie
"Parmi les formes solides orales suivantes, indiquer celles qui libèrent le principe actif de manière continue.",Matrice hydrophile,Comprimé pelliculé avec un film insoluble perméable,Lyoc,Comprimé gastrorésistant,Matrice inerte,"A, B, E",pharmacie
"Parmi les explorations biologiques suivantes, lesquelles peuvent être utiles au diagnostic d'une anomalie de l'hémostase primaire ?",La mesure du temps de saignement (Ivy),La mesure du taux du complexe prothrombinique,Le dosage du facteur Willebrand,La numération plaquettaire,Les tests d'agrégation plaquettaire in vitro,"A, C, D, E",pharmacie
"Parmi les substances suivantes, quelles sont celles qui ne peuvent être identifiées par la réaction de Parri ?",Phénothiazines,Calcium,Chlorure de sodium,Barbituriques,Caféine,"A, B, C, E",pharmacie
"Parmi les électrodes suivantes, quelle(s) est(sont) celle(s) qui est(sont) utilisée(s) en polarographie ?",Electrode de verre,Electrode à goutte de mercure,Electrode de platine,Electrode au calomel,Electrode de Clark,"B, D",pharmacie
Le syndrome de sevrage des morphiniques est caractérisé par le ou les signe(s) suivant(s) :,Myosis,Hypersudation,Somnolence,Diarrhée,Tachycardie,"B, D, E",pharmacie
"Chez un patient atteint d'une hyperlipoprotéinémie de type III, on observe habituellement :",Une augmentation importante des chylomicrons,"La présence d'une bande large migrant, à l'électrophorèse sur gel d'agarose, au niveau des alpha globulines",La présence de lipoprotéines de taille intermédiaire (IDL),Un génotype apo E1/E1,Une augmentation de la triglycéridémie,"C, E",pharmacie
"Parmi les propositions suivantes, indiquer le(s) antibiotique(s) exerçant un effet bactéricide :",Ceftriaxone,Azithromycine,Gentamicine,Tétracycline,Ofloxacine,"A, C, E",pharmacie
"Dans un diabète de type 1 non traité, on observe :",Une hyperinsulinémie à jeun,Un abaissement de la concentration du peptide C plasmatique,L'apparition possible de corps cétoniques dans les urines,Une diminution de la concentration plasmatique des acides gras libres,Une augmentation de l'HbA1c,"B, C, E",pharmacie
"Après absorption de lumière, une molécule est dans un état instable, il s'en suit une restitution de l'énergie acquise. Quelle(s) est(sont) la(les) proposition(s) exacte(s) concernant ce phénomène?",Une partie de l'énergie est dissipée par collisions avec les molécules de solvant,La longueur d'onde de la lumière émise par fluorescence est inférieure à celle de la lumière absorbée,La désactivation par fluorescence se fait en un temps voisin de 10-8s,Dans le cas de la phosphorescence le retour au niveau fondamental se fait à partir d'un état singulet,La désactivation par fluorescence se fait à partir du premier niveau électronique excité,"A, C, E",pharmacie
"Dans la liste suivante, quel(s) micro-organisme(s) peut(peuvent) être transmis par voie féco-orale ?",Virus de l'hépatite A,Cytomégalovirus,Entamoeba histolytica,Entérovirus,Treponema pallidum,"A, C, D",pharmacie
Une intoxication aiguë par les opiacés présente généralement les manifestations cliniques suivantes:,Dépression du système nerveux central,Dépression respiratoire,Anurie,Myosis,Bradycardie,"A, B, D, E",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s)? En spectrophotométrie UV moléculaire:",On exploite un spectre de bandes,Les cellules d'analyse sont en verre,La source d'émission la plus courante est une lampe au deutérium,L'absorption obéit à la loi de Beer-Lambert,Il est possible de doser des chromophores absorbant à 600nm,"A, C, D",pharmacie
La loi de Beer-Lambert est vérifiée en:,Spectrophotométrie UV-Visible,Spectrométrie d'émission atomique,Spectrophotométrie infra-rouge,Spectrophotométrie Raman,Spectrométrie d'absorption atomique,"A, E",pharmacie
"Parmi les propositions suivantes, laquelle (lesquelles) est (sont) exacte(s)? Les préparations utilisées en nutrition parentérale peuvent être:",Des solutions d'huile de soja,Une solution de glucose à 30%,Des solutions d'acides aminés,Des mélanges ternaires glucides/acides aminés/lipides,Des solutions hypertoniques de sorbitol,"B, C, D",pharmacie
