question,answer_A,answer_B,answer_C,answer_D,answer_E,correct_answers,subject_name
"Which of the following is/are correct? For a given subject, a drug has linear kinetics when:",Its total body clearance is stable whatever the dose.,Protein-bound fraction varies with dose,Half-life varies with dose,The plasma concentrations obtained are proportional to the dose,The kinetics of decrease in plasma concentrations is log-linear,"A, D, E",pharmacy
Which of the following bacteria can be responsible for nosocomial infections in hospitals?,Staphylococcus aureus,Escherichia coli,Neisseria meningitis,Pseudomonas aeruginosa,Haemophilus influenzae,"A, B, D",pharmacy
Which of the following is/are correct? Gluconeogenesis:,Helps regulate blood sugar,Is mainly carried out in the liver,Is important for a high insulin/glucagon ratio,Involves substrate exchanges across the inner membrane of mitochondria,Is stimulated by cortisol,"A, B, D, E",pharmacy
Which of these statements about glucocorticoids is (are) correct?,Cortisol is the main glucocorticoid in humans,They are secreted by the fasciculated zone of the adrenal cortex,They are secreted by the adrenal medulla,Involved in fetal lung maturation,They act through cyclic AMP,"A, B, D",pharmacy
Which of the following applies to the epidemiology of influenza?,Direct airborne transmission,Influenza viruses undergo antigenic changes,Type B influenza viruses are responsible for pandemics,Epidemics predominate in spring,There is local immunity in the respiratory tract,"A, B, E",pharmacy
The diagnosis of primary syphilis is based on the following tests:,Blood culture,Direct examination of the serosity of the chancre under a dark field microscope,Direct examination of chancre serosity under the microscope by immunofluorescence,In vitro culture on enriched medium,Testing for soluble antigen in serum,"B, C",pharmacy
Indicate the correct answer(s). The HLA antigens are:,Idiotypic antigens,Alloantigens,Antigens involved in allograft rejection mechanisms,Capable of inducing a lymphoproliferative response in vitro,Receptors for the human immunodeficiency virus,"B, C, D",pharmacy
Infections caused by these fungi generally result from contamination of exogenous origin:,Candida albicans,Aspergillus fumigatus,Trichophyton mentagrophytes,Cryptococcus neoformans,Microspores dog,"B, C, D, E",pharmacy
Cholestasis syndrome is characterized by:,An increase in serum concentration of conjugated bilirubin,An increase in serum alkaline phosphatase activity,An increase in serum aspartate aminotransferase activity,Discolored stools,A decrease in fecal urobilinogen,"A, B, D, E",pharmacy
"Among the following statements, indicate which one(s) is(are) correct. Ethambutol:",Does not pass into breast milk,Is classically used as monotherapy,Is responsible for liver problems,Causes eye problems,Is a respiratory analeptic,"A, D",pharmacy
"Among the following statements, indicate which one(s) is(are) correct. DAKIN solution:",A strength expressed in grams of active chlorine per liter,Has a slightly acidic pH to ensure its conservation,Is active due to the potassium permanganate it contains,Is unstable to light,Is unstable to heat when not stabilized,"A, D, E",pharmacy
"Among the following statements, indicate which one(s) is (are) correct. nifedipine:",Has hypocalcemic effects,Does not increase coronary flow,Increases arterial compliance,Is used in the prevention of angina,Is an antihypertensive,"C, D, E",pharmacy
The infectious agents below are common causes of nosocomial infections,Candida albicans,Pseudomonas aeruginosa,Escherichia coli,Salmonella typhi,Aspergillus fumigatus,"A, B, C, E",pharmacy
"Among the following statements, indicate which one(s) is(are) correct. Medical economics is an economy:",Health service,Governed by the law of supply and demand,Which is the subject of nationalization since the entry into force of the statistical tables of activities and prescriptions,Characterized by the patient's free choice of doctors,Strictly hospitable,"A, C, D",pharmacy
Intestinal giardia is:,A flagellate protozoan,A non-specific parasite of humans,A parasite that causes blood hypereosinophilia,A parasite more common in children,Sensible aux benzimidazoles,"A, D",pharmacy
Which of the following statements regarding Mycobacterium tuberculosis is(are) the correct answer(s). Which ones?,It is a slow growing bacteria,Prevention of infection uses inactivated vaccine,The vaccine strain is Mycobacterium bovis,It is a sporulating bacteria,This bacteria may be sensitive to isoniazid,"A, C, E",pharmacy
What is(are) the correct proposition(s) regarding injectable amino acid solutions for parenteral nutrition?,They have an amino acid composition simulating that of cow's milk protein,"They can be enriched with isoleucine, leucine and valine",They are isotonic by addition of sorbitol,They have an amino acid concentration of 5 to 6 g/L,They are defined by the E/T ratio (gram of essential amino acids/gram of total nitrogen) which is generally close to 3.2,"B, E",pharmacy
Physiological jaundice of the newborn:,Is due to conjugated hyperbilirubinemia,Is due to a lack of glucuronyl transferase activity,Causes anemia,Possibly responsible for kernicterus,Is more common in premature babies than in full-term newborns,"B, E",pharmacy
What is (are) the correct proposition(s) regarding the spleen:,Is a hematopoietic organ,Is the preferred site for the secretion of polymeric IgA,The antigen enters through afferent lymphatic channels,Is a primary lymphoid organ,Includes Malpighian corpuscles,"A, E",pharmacy
The main chemical and biochemical constituents of gastric juice are:,The intrinsic factor,Hydrochloric acid,Chymotrypsin,Pepsinogen,Vitamin B12,"A, B, D",pharmacy
The discovery of microcytic anemia (MCV=62 fL) allows one or more of the following causes to be considered:,Sideroblastic anemia,Folate deficiency anemia,Iron deficiency anemia,Thalassemia syndrome,Sickle cell anemia,"C, D",pharmacy
Which of the following is/are correct? Substances usually classified as calcium antagonists:,Block the channels through which calcium leaves the muscle cell,Include Nifedipine and Verapamil,Relax smooth muscles and increase ventricular contractility,Reduce supraventricular tachycardias,Are selective for smooth muscle of the veins,"B, D",pharmacy
Which of the effects of trinitrin is correct? It causes:,Bradycardia,Alveolar vasodilation,Venous vasodilation,A decrease in myocardial oxygen consumption,A reduction in preload,"C, D, E",pharmacy
Which of the following statements regarding the biological diagnosis of Cytomegalovirus (CMV) infections is (are) correct?,CMV gives a rapid cytopathic effect (in 24 hours) on cell culture,Early detection of CMV antigens using monoclonal antibodies allows rapid diagnosis,CMV is excreted over a prolonged period in the urine of the infected subject,It is possible to test for CMV in circulating blood leukocytes,The appearance of the blood smear allows for the diagnosis of these infections.,"B, C, D",pharmacy
Adding adrenaline to local anesthetics:,Helps limit allergic reactions,Allows direct intravascular injection,Helps limit the diffusion of the medication at the injection site,Is particularly useful in preparations for contact anesthesia,Can be used in epidural anesthesia,"C, E",pharmacy
"In case of overdose of fibrinolytic drugs, one can:",Give aprotinin orally,Inject epsilon-aminocaproic acid,Administer vitamin K antagonists,Transfuse fibrinogen,Transfuse platelets,"B, D",pharmacy
Cryptococcus neoformans:,Is a capsuled yeast,Its mode of contamination is exclusively respiratory.,Its morbidity is low in the immunocompromised,Is usually sensitive to fluconazole,Presents a tropism for the central nervous system,"A, D, E",pharmacy
Hemoglobin is:,Heteroprotein,Chromoprotein,Lipoprotein,Nucleoprotein,Holoprotein,"A, B",pharmacy
Which of the following is/are correct? Paracetamol:,Is used as a pain reliever,Acetanilide drift,Is not antipyretic,Is nephrotoxic by chronic administration,Induces hepatic cytolysis at high doses,"A, B, E",pharmacy
"During acute viral hepatitis, we usually observe in the blood:",An increase in creatine kinase,An increase in transaminases,An increase in glucose,An increase in serum iron,An increase in immunoglobulins,"B, D, E",pharmacy
Hyperglycemia in an insulin-dependent diabetic:,Comes in part from increased hepatic gluconeogenesis,Is the consequence of a lack of glucose entry into muscle cells,Is due to an increase in the renal threshold for glucose elimination,Causes hyperhydration of the intracellular compartment,Causes non-enzymatic glycation of membrane proteins,"A, B, E",pharmacy
Which of the following statements regarding nephrotic syndrome is (are) correct?,Is characterized by a deposition of immune complexes at the level of the glomerulus,Is defined by significant proteinuria,Has hypoproteinemia,Includes hyperalbuminemia,Has an increased proportion of serum alpha-2-globulins,"A, B, C, E",pharmacy
Which of the following statements regarding drug addictions is correct:,Physical dependence is responsible for the withdrawal syndrome upon abrupt cessation of treatment,Physical dependence is significant with ethyl alcohol,Psychological dependence corresponds to the consumption of the product for the sensations it provides,Amphetamines do not cause psychological dependence,Cocaine does not cause psychological dependence,"A, B, C",pharmacy
Which of the following applies to free bilirubin jaundice:,Possibly due to hemolysis,Observed in case of obstacles in the bile ducts,Is always original acquired,Discusses Gilbert's illness,Requires vitamin K1 injection,"A, D",pharmacy
Which of the usual manifestations of multiple myeloma (Kahler's disease) is (are) correct?,Profound neutropenia,Hypocalcemia,Increased serum level of monoclonal immunoglobulin,Hemolytic anemia,Acceleration of sedimentation rate,"C, E",pharmacy
"To measure calcium by atomic absorption in the serum of a healthy subject, it is mandatory:",To eliminate chlorides,To eliminate phosphates,To work in an oxidizing flame,To use a calibration range,To complex the Ca++ ion by EDTA,"B, D",pharmacy
Which of the following symptoms or signs is part of pure nephrotic syndrome?,Abundant proteinuria,Edema,Microscopic hematuria,High blood pressure,Hyperlipidemia,"A, B, E",pharmacy
A drug has a hepatic extraction coefficient of 0.80. Hepatic blood flow decreases. Which of the following statements is (are) correct?,The hepatic extraction coefficient decreases,Hepatic clearance decreases,Hepatic clearance is sensitive to the free fraction,The area under the plasma concentration-time curve increases,Plasma half-life increases,"B, D, E",pharmacy
Which of the following is/are correct?,Pinworm causes evening pruritus ani,The pinworm gets its name from the fact that it needs a lot of oxygen to grow,The pinworm is a direct cycle worm,Pinworm is a respiratory nematode,Pinworm lays capped eggs,"A, C",pharmacy
What diuretic(s) cause a drop in blood potassium?,Chlortalidone,Hydrochlorothiazide,Furosemide,Spironolactone,Amiloride,"A, B, C",pharmacy
Which of the following relates to Neisseria gonorrhoeae?,This is an opportunistic bacteria,Its morphology is that of a Gram-negative coccus,It is a strict parasite of humans,It is never a beta-lactamase producer,its frequency of isolation is currently decreasing in France,"B, C, E",pharmacy
Which of the following statements regarding Mycobacterium tuberculosis is (are) correct?,It is a Gram-negative bacillus,It is inactivated by ethyl alcohol at 70°,It forms beta-hemolytic colonies on blood agar,The time for colonies to appear on specific medium is greater than 15 days,It induces essentially cellular type immunity,"B, D, E",pharmacy
Which of the following preparations is(are) used in parenteral nutrition?,Lipid emulsions,Amino acid solutions,Hypertonic glucose solutions,Isotonic sodium chloride solutions,Sorbitol solutions,"A, B, C",pharmacy
Which of the following characterizes insulin-dependent diabetes?,Normal or high insulinemia,Ketosis tendency,Appears most often in young subjects,Frequently overweight,Association with certain histocompatibility genes,"B, C, E",pharmacy
Which of the following phenotype(s) can children of an AB Rh positive father and an O Rh negative mother exhibit?,Rh positive,B Rh positive,AB Rh positive,Rh negative,B Rh negative,"A, B, D, E",pharmacy
"In tablet manufacturing, what is/are the correct proposition(s) regarding granulation?",Granulation is used to densify powders,Dry granulation is also called extrusion,Granulation promotes powder flow,Dry granulation can be done in a fluidized air bed,Wet granulation is preceded by pasting of the powder after wetting,"A, C, E",pharmacy
Which of the following statements regarding low molecular weight heparins is(are) correct?,They have a longer duration of action than unfractionated heparin,They are only used for preventive antithrombotic purposes and not for curative purposes.,They are less anticoagulant than unfractionated heparin,They require three injections per day as a preventative measure.,Their monitoring is carried out by evaluating the anti-Xa activity,"A, C, E",pharmacy
"In molecular spectrophotometry, the sensitivity of an assay depends on:",From the wavelength of the absorption maximum of the solvent,From the molecular extinction coefficient of the solute to the maximum absorption wavelength,Optical path length,The intensity of the incident radiation,System for measuring the intensity of transmitted light,"B, C, E",pharmacy
In what case(s) can we speak of high blood pressure according to the WHO criteria? If the blood pressure (P.A.) is:,P.A.= 140/90 mm Hg,P.A.= 145/100 mm Hg,P.A.= 170/90 mm Hg,P.A.= 165/95 mm Hg,P.A.= 155/90 mm Hg,"A, B, C, D, E",pharmacy
Which of the following statements is (are) false? NPH insulin:,Can be administered intravenously,Is another name for protamine isophane insulin,Is an improved form of protamine zinc insulin,Is a biphasic insulin,Has a duration of action of 24 hours,"A, D, E",pharmacy
Which of the following is/are correct? the following compound:,Is used as an antibacterial,Is used as a diuretic,Has two acidic hydrogens that can be titratable in a non-aqueous medium,Increases the ototoxicity of aminoglycosides,Is used in the treatment of acute pulmonary edema,"B, C, D, E",pharmacy
"Among these organs, which one(s) participates in the metabolism of vitamin D3 (cholecalciferol)?",Lungs,Foie,Reins,Skin,Pancreas,"B, C, D",pharmacy
Which of the following is/are correct? Stimulation of the renin-angiotensin system:,Causes aldosterone secretion,Causes vasodilation,Perhaps due to a drop in pressure in the renal artery,Increases blood volume,Increases urinary sodium excretion,"A, C, D",pharmacy
"Concerning acute carbon monoxide poisoning, indicate the correct proposition(s)",Severity depends on the level of carbon monoxide in the blood,The methemoglobin dosage helps confirm the diagnosis,Early oxygen therapy constitutes a therapeutic,Old people are more sensitive than young adults,Blood carboxyhemoglobin is greater than 15%,"A, C, D, E",pharmacy
"Among the following situations, indicate which one(s) is (are) frequently encountered in acute alcohol poisoning",Hypothermia,Hypoglycemia,High blood pressure,Hyperkalemia,Acidosis,"A, B, D, E",pharmacy
Which of the following statements regarding circinate herpes is (are) true?,The condition only affects hairless skin,The lesion grows centrifugally,The lesion is located only at the level of the large skin folds,"The lesion leaves, after healing, an indelible scar.",Healing is usually spontaneous within 2 to 3 weeks,"A, B",pharmacy
Which of the following statements regarding Streptococcus pneumoniae is (are) correct?,It is a Gram-positive coccus.,It can be encapsulated,It grows easily on ordinary media,It can be the agent of primary meningitis,It is the agent of urinary infections,"A, B, D",pharmacy
The egg of Enterobius vermicularis:,Is colorless,Is asymmetrical,Has a double hull,Has a smooth shell,May be the cause of self-infestation,"A, B, D, E",pharmacy
Which of the following medical-surgical procedures can cause a nosocomial infection in hospital?,Tracheotomy,Placement of an intravenous catheter,Indwelling urinary catheterization for incontinence,Tuberculin intradermoreaction,Neurosurgical intervention for diversion of hydrocephalus,"A, B, C, E",pharmacy
"According to the legislative articles of the public health code, information relating to the patient's state of health:",Should only be issued at the express request of the patient,Must be delivered first and primarily in writing,Must be delivered in all situations to the patient without exception,Must be transmitted by the healthcare professional who must ensure understanding of the information and explanations given,"Must be given by the attending physician who remains, except in cases of force majeure, the patient's main contact",D,pharmacy
Which of the following statements about meningococcus is/are correct?,It is a Gram-negative diplococci,It may be present in the nasopharyngeal flora of normal subjects.,Differentiation of serogroups occurs thanks to wall protein antigens,It is an agent of sexually transmitted diseases,There is a vaccine against serogroup A,"A, B, E",pharmacy
Which of the following conditions can generally be attributed to Neisseria gonorrhoeae?,Meningitis,Acute atypical pneumonia,Acute urethritis,Arthritis,Neonatal conjunctivitis,"C, D, E",pharmacy
Which of the following statements regarding containers for injections is (are) correct?,Glass vials have high surface hydrolytic resistance,The injectable solutions are packaged in type III glass ampoules.,Bags for injection preparations are generally made of PVC,The bags for ternary mixture for total parenteral nutrition are made of plastic polymer colored in the mass to protect from light,"Cartridges are small bottomless glass bottles, closed at both ends with a rubber stopper.","A, C, E",pharmacy
Which of the following clearances measures glomerular filtration?,Phosphorus clearance,Urea clearance,Inulin clearance,Clearance of para-amino-hippuric acid,Creatinine clearance,"C, E",pharmacy
Which of the following statements is correct? HCG is a hormone:,Secreted by the placenta,Secreted by the ovary,Secreted by the ante-pituitary,Secreted by the hypothalamus,Which allows early diagnosis of pregnancy,"A, E",pharmacy
"To carry out a precipitation reaction, what type(s) of antigen(s) can we use?",A particulate antigen,A protein solution,A human serum,Sensitized latex particles,A suspension of salmonella treated with formalin,"B, C",pharmacy
The effects of cortisol on metabolism result in:,Protein hypercatabolism,Hyperglycemia,Hypocholesterolemia,A decrease in gluconeogenesis,An increase in plasma protein concentration,"A, B",pharmacy
Which of the following is/are correct? Activation of beta-adrenergic receptors by salbutamol causes:,Bronchoconstriction,a myosis,Vasodilation,Uterine relaxation,Stimulation of insulin secretion,"C, D, E",pharmacy
"Among the radiations below, which one(s) is(are) not ionizing?",X-rays,Infrared radiation,Ultraviolet radiation,Alpha radiation,Beta radiation,"B, C",pharmacy
Light chains of immunoglobulins:,Are of two different types,In the same molecule are identical,All express allotypic specificities,Include 2 constant domains,Include a variable domain,"A, E",pharmacy
What is(are) the correct proposition(s) regarding parenteral nutrition preparations?,They are only used to ensure the necessary caloric intake for the patient.,Lipid emulsions contain soybean oil,Lipid preparations contain lecithins to provide essential unsaturated fatty acids,"In amino acid solutions, the proportion of essential amino acids should be as high as possible",One liter of 20% Intralipid provides more calories than one liter of 30% glucose solution,"B, E",pharmacy
"What is (are) the correct proposition(s)? To have the best bioavailability of a very lipophilic principle (with a high partition coefficient), it is recommended:",To swallow without water,To present it in micronized form,To present it in a gastro-resistant tablet,To swallow it during a meal rich in lipids,To swallow it in the evening at bedtime,"B, D",pharmacy
Which of the following diuretics is(are) Henle's loop diuretic(s),Amiloride,Furosemide,Spironolactone,Mannitol,Bumetanide,"B, E",pharmacy
Among which of the following infectious situations is hyper blood eosinophilia observed?,Aspergillosis,Liver amoebiasis,Deep candidiasis,Urinary bilharzia,Anguillulose,"D, E",pharmacy
Phenols can conventionally be measured by:,Acid solvent protometry,Basic solvent protometry,UV spectrophotometry,Photometry after copulation with a diazonium salt,Photometry after transformation into indophenol,"B, C, D, E",pharmacy
"Among the following parasitoses, which one(s) is(are) likely to be observed in a Guadeloupean who has come to mainland France and has not made any other trip?",Plasmodium ovale malaria,Schistosoma haematobium urogenital bilharziasis,Ankylostomiase,Strongyloïdose,Schistosoma mansoni intestinal bilharziasis,"C, D, E",pharmacy
Which of the following is/are correct? Calcium channel blockers may exert their antianginal activity by:,A direct negative inotropic effect,A positive chronotropic effect,Coronary vasodilation,An analgesic effect,Venous vasodilation,"A, C",pharmacy
"In the ABO system, antigens:",Are present from the erythroblast stage,Have a lipid terminal part,Can be found in saliva,Allows grouping to be carried out,May be modified in certain blood diseases,"A, C, D, E",pharmacy
Kidney failure can be caused by:,Methanol,Trichlorethylene,Ethylene glycol,Ethanol,Chloroform,C,pharmacy
Indicate the correct answer(s): B lymphocytes:,Represent more than 50% of circulating lymphocytes,Have receptors for antigen consisting of: 2 alpha chains and 2 beta chains,Are highlighted by the rosette test E (sheep),Have a receptor for the Epstein-Barr virus,Give rise to mast cells which secrete antibodies,D,pharmacy
Check the correct answer(s): Hemoglobin A:,Has two ferric iron atoms per molecule,Is an allosteric protein,Exhibits an oxygen saturation function identical to that of myoglobin,Is partly catabolized into bilirubin,Sees its affinity for oxygen decrease if the pH decreases,"B, D, E",pharmacy
The presentation of an antigen to the CD4 T lymphocyte in an immunogenic form involves:,Internalization and degradation of this antigen,A synthesis of IgM,Production of oxygenated free radicals,The intervention of MHC class II molecules,The involvement of a receptor of the TNF receptor family,"A, D",pharmacy
"The 3 hydrogen nuclides, H(A=1,Z=1), H(A=2,Z=1) and H(A=3,Z=1) are:",Isotones,Isomers,Isobars,Isotopes,Isotherms,D,pharmacy
Which protein has the highest plasma concentration in a normal subject?,Prealbumin,Albumin,CRP,IgG,Fibrinogen,B,pharmacy
Which of these effects of long-term glucocorticoids is false?,Adrenocortical atrophy,Hypercorticisme,Immunostimulation,Sodium retention,It was about potassium,C,pharmacy
Which of the following statements regarding sterilizing filtration is incorrect?,It is carried out on filters with a porosity of 0.22 micrometers,It makes it possible to obtain gases or sterile solutions,It most generally operates on cellulose ester membranes.,It makes it possible to obtain the sterility of injectable suspensions of thermosensitive active ingredients,It does not retain bacterial endotoxins,D,pharmacy
What base does not exist in a DNA molecule?,Adenine,Cytosine,Uracile,Thymine,Guanine,C,pharmacy
Which of the insulin preparations requires two injections per day?,Suspension d'Insuline Protamine Zinc,Monocompound slow insulin suspension,Crystallized Zinc Insulin Suspension,Suspension d'Insulin Zinc Semi-Slow,Amorphous Insulin Zinc Suspension,"D, E",pharmacy
Which of the following is/are correct? Bioavailability of drugs:,Information on drug absorption,Depends on drug binding to plasma proteins,Depends on the effect of the first hepatic passage,Depends on the physicochemical properties of the drug,Depends on total drug clearance,"A, C, D",pharmacy
Which of the following enzymes is(are) involved in the breakdown of glucose in muscle:,Pyruvate kinase,Pyruvate carboxylase,Lactate deshydrogénase,Hexokinase,Glucokinase,"A, C",pharmacy
Which of the following statements is(are) correct?,Streptomycin (STREPTOMYCIN) is a “first-line” anti-tuberculosis drug.,Kanamycin (KAMYCINE) is a nephrotoxic anti-tuberculosis drug,Attack treatment using 4 anti-tuberculosis drugs (rifampicin + isoniazid + ethambutol + pyrazinamid) shortens the duration of treatment to 6 months,Pyrazinamide (PIRILENE) causes ocular toxicity,Ethambutol (DEXAMBUTOL) is an ototoxic anti-tuberculosis drug,"B, C",pharmacy
Which of the following characteristics relate to KETOCONAZOLE?,Not water soluble,Inhibits ergosterol synthesis,Is a pyrimidine derivative,Acts only on yeasts,Has liver toxicity,"A, B, E",pharmacy
What is (are) the exclusively anthropophilic mushroom(s),Trichophyton rubrum,Cryptococcus neoformans,Epidermophyton floccosum,Trichophyton mentagrophytes,Aspergillus fumigatus,"A, C",pharmacy
Which of the following statements regarding trichlorethylene is correct?,Trichlorethylene is a halogenated aromatic hydrocarbon,Trichlorethylene can lead to drug addiction,The heart problems it causes are responsible for the severity of the poisoning,Trichlorethylene has a low affinity for adipose tissue,Trichlorethylene in the body undergoes oxidative metabolism,"B, C, E",pharmacy
Hyponatriuria is generally observed during:,Primary nephrotic syndrome,Cirrhosis with ascites,Hypoaldosteronism,Functional renal failure,Bad diets,"A, B, D, E",pharmacy
Which of the following is/are correct? The transformation of methemoglobin into hemoglobin uses:,Methionine,Reduced glutathione,Cysteine,Cytochrome b reductase,Vitamin C,"B, E",pharmacy
Exclusively unconjugated (indirect) bilirubin jaundice is observed in:,Liver cirrhosis,Viral hepatitis,Hemolytic anemias,Les cholestases,Complete hepatic glucuronyl transferase deficiencies,"C, E",pharmacy
A single (several) proposition(s) constitute(s) the expected answer(s): Chronic oxycarbonism occurs:,Among heavy smokers,After exposure to aromatic solvents,After exposure to carbon tetrachloride,After exposure to chloroform,After exposure to dichloromethane,"A, E",pharmacy
Le vaccin antigrippal:,Is an inactivated virus vaccine,Is modified based on epidemiological data,Is generally administered in the spring,Is compulsory from the age of 1 year,Not contraindicated in pregnant women,"A, B, E",pharmacy
The diagnosis of E. coli urinary tract infection is based on the following elements. Check the element(s) which contribute(s) to the diagnosis:,Leucocytes > 100.000 /ml,100.000 E.coli/ml,Numerous Gram(+) cocci on direct examination,Acid-fast bacilli on direct examination,Glycosurie (+),"A, B",pharmacy
"Among the following, indicate the microbial species responsible for dysenteric syndromes:",Candida albicans,Intestinal yard,Taenia saginata,Mocha village management,Poliovirus,"B, D",pharmacy
Which of the following is/are correct? The molar extinction coefficient of an absorbent substance can:,Vary with temperature,Vary with wavelength,Be modified by the nature of the solvent,Vary with optical path length,Be identical at 2 different wavelengths,"A, B, C, E",pharmacy
Which of the following statements regarding UV-visible spectrophotometry is(are) correct?,Saturated carbides do not absorb in the near ultraviolet,A colorless substance absorbs in the wavelength region between 400 to 700 nm,The conjugation of multiple bonds shifts the absorption maximum of the molecule towards long wavelengths,The solvent does not influence the absorption of dissolved substances,The functional groups carrying heteroatoms are auxochromic,"A, C, E",pharmacy
"Of the following questions regarding prevention, only one is false. Which ?",Screening is a primary prevention measure,Secondary prevention aims to reduce the prevalence of a disease,The aim of tertiary prevention is to reduce the prevalence of complications of a disease.,Personal hygiene is a primary prevention measure,Vitamin therapy is a tertiary prevention measure for alcoholic disease,A,pharmacy
What happens at the end of general diastole? Check the correct answer(s),The atria and ventricles are relaxed,The atrioventricular valves are open,The pulmonary valve is open,The aortic valve is open,The ventricles receive blood from the atria,"A, B, E",pharmacy
"Which of the following biological abnormalities suggests that a primary nephrotic syndrome ""is impure""?",Decrease in serum albumin level,Selective proteinuria,Hematuria,Increased serum alpha 2 globulins,Increased serum creatinine,"C, E",pharmacy
Sufficient cooking of meat is one of the best preventions against the following parasitoses:,The fasciolose,Toxoplasmosis,The taeniasis in Taenia saginata,La cryptococcose,Pinworm,"B, C",pharmacy
The Beer-Lambert law,Applies to polarometric assays,Applies to spectrophotometric assays,Is valid whatever the concentration of the solution,Is an additive law,Can be applied in polychromatic light,"B, D",pharmacy
The yield of extraction by an organic solvent of an acidic compound dissolved in water increases when:,The volume of the aqueous phase to be extracted increases,The conditional partition coefficient of the compound increases,The number of extractions performed increases,The volume of the organic solvent increases,The pH of the aqueous phase increases,"B, C, D",pharmacy
Which of the following statements about tablets is/are correct?,Polyvinylpyrrolidone is used as a dry binder,The sodium bicarbonate/citric acid mixture is used as a disintegrating agent,Granulation facilitates the flow of the mixture for compression,Carboxymethylcellulose is used as a diluent in wet granulation,Colloidal silica is a diluent for direct compression,"A, B, C",pharmacy
Which of the following apply to IL2:,Induces differentiation of cytotoxic T lymphocytes,Is produced by activated macrophages,Is produced by Th1 lymphocytes,Acts in an autocrine mode,Can be used therapeutically,"A, C, D, E",pharmacy
A 20-year-old patient is treated with low molecular weight heparin for iliac thrombosis. He presents with major hemorrhagic syndrome. Which of the following results confirms the presence of an overdose?,Prothrombin complex rate 35%,INR = 4,Activated partial thromboplastin time at 45 s (for a control at 30 s),Anti-Xa activity = 2.00 IU/mL,An IVY incision bleeding time at 12 minutes,D,pharmacy
Which of the following statements regarding allopurinol (ZYLORIC®) is correct?,It is a nucleoside derivative,It is a xanthine oxidase inhibitor.,It significantly increases uraturia,It is used in the treatment of gout attacks as monotherapy,It can cause serious allergic reactions,"B, E",pharmacy
Which of the following propositions characterizes Pseudomonas aeruginosa?,Strict parasite of man,Very often involved in nosocomial infections,Gram negative bacillus,Strict aerobic,Is still sensitive to third generation cephalosporins,"B, C, D",pharmacy
"Among the following options, check the correct answer(s). Parathyroid hormone:",Increases renal calcium reabsorption,Has the same effect as calcitonin on the urinary elimination of phosphates,Increases bone calcium mobilization,Inhibits intestinal absorption of calcium,"Inhibits the formation of 1,25 dihydroxy vitamin D3","A, B, C",pharmacy
A typical picture of Disseminated Intravascular Coagulation generally includes:,Thrombocytopenia,A high concentration of fibrin breakdown products (D-dimer),An increase in fibrinogen concentration,A decrease in the concentration of clotting factors,The presence of soluble complexes,"A, B, D, E",pharmacy
"In the CSF from a patient suffering from bacterial meningitis, we most often note an increase in certain parameter(s). Which one(s)?",Proteins,Glucose,Chlorides,Neutrophils,Platelets,"A, D",pharmacy
Which of the following statements regarding Aspergillus fumigatus are correct:,Is a filamentous fungus,Is contracted by inhalation of spores,Is identified by the presence of macroconidia,Can be treated with fluconazole,Is an opportunist,"A, B, E",pharmacy
Intestinal absorption of glucose:,Is carried out against a concentration gradient,Is slowed down by galactose,Uses a mode of transport very similar to that operating in the renal tubule,Is blocked by an increase in blood sugar,Is carried out by the same mode of transport as fructose,"A, B, C",pharmacy
"In the event of massive blood loss, accelerated compensatory erythropoiesis generally results in:",Increased number of circulating reticulocytes,A polychromatophily,The Appearance in Gumprecht's Blood of Shadows,The passage into the blood of a low number of acidophilic erythroblasts,Monocytosis,"A, B, D",pharmacy
Vaccination against hepatitis B:,Is contraindicated in pregnant women,Is mandatory for all healthcare personnel,Is recommended for all subjects at risk of contamination,Is obligatory for international travelers,Is indicated in hemodialysis patients only if they are to undergo a kidney transplant,"B, C",pharmacy
The fluorescence intensity of a given molecule:,Is inversely proportional to concentration,Is dependent on the intensity of the light ray of the exciting light ray,Can be used to identify a molecule,Is independent of the solvator medium,Is temperature dependent,"B, C, E",pharmacy
Two atomic nuclei are called isotopes when they have:,Same mass number (A),Same number of neutrons,Same atomic number (Z),Same number of neutrons and protons,Same number of electrons,"C, E",pharmacy
Which of the following is/are correct? In chronic alcoholism:,There is a physical dependence,A decrease in mean corpuscular volume is observed,There is addiction to ethanol,There is chronic renal failure,Impairment of liver functions develops,"A, C, E",pharmacy
Which of the following apply to plasma very low density lipoproteins (VLDL)?,They contain apo B,They are secreted mainly by the intestine,They are rich in triglycerides,They contain apo C and E,They are smaller in size than LDL (low-density lipoproteins),"A, C, D",pharmacy
Which of the following is/are correct? Chlorides can be measured by:,Direct atomic absorption,Potentiometry with platinum electrode,Complexometry,Flame photometry,Ion chromatography with conductivity detector,"C, E",pharmacy
Which of the following statements is(are) correct?,Vanillic acid is the catabolite of dopamine,Adrenaline is synthesized in adrenergic neurons of the sympathetic system,Mono-amine oxidase is a catecholamine degradation enzyme,Cyclic AMP is the second messenger of catecholamine beta receptors,Dopamine is a hypertensive hormone,"A, C, D",pharmacy
"In chronic lymphocytic leukemia, there is frequently",Lymphocytosis greater than 4 G/L,An increase in polynuclear basophils,Hyperplateletosis,Bone pain,Lymphadenopathy,"A, E",pharmacy
Which of the following is the antibiotic of choice for treating Listeria monocytogenes infection?,Ciprofloxacin,Amoxicillin,Ceftriaxone,Erythromycin,Isoniazid,B,pharmacy
